person_id,full_name,gender,highest_degree,degree_field,doctoral_institution_id,prior_position_title,prior_position_institution_id,prior_dean_experience,prior_president_experience,person_birth_year,first_appearance_year
P02586,B. Lyn Behrens,f,phd,,,Dean of the School of Medicine,,TRUE,,,1991
P02587,"Thomas P. O'Malley, S.J.",m,phd,,,President,,TRUE,,,1991
P02588,J. Wade Gilley,m,phd,,,Senior Vice President,US-GEORGE-MASON-UNIVERSITY,TRUE,,,1991
P02589,James E. Walker,m,phd,,,Provost and Vice President for Academic Affairs,US-UNIVERSITY-OF-NORTHERN-COLORADO,TRUE,,,1991
P02590,"Thomas Wesley Allen, DO",m,phd,,,"Dean; Editor-in-Chief, Journal of the American Osteopathic Association",,TRUE,,,1991
P02591,Marvin L. Yates,m,phd,,,Vice Chancellor for Student Affairs,,TRUE,,,1991
P02592,Dennis P. McCabe,m,phd,,,Vice President for University Operations,US-TARLETON-STATE-UNIVERSITY,TRUE,,,1991
P02593,James A. Hefner,m,phd,,,President,,TRUE,,,1991
P02594,Torsten N. Wiesel,m,phd,,,Vincent and Brooke Astor Professor and head of laboratory (internal),US-ROCKEFELLER-UNIVERSITY,,,,1991
P02595,Aaron Lazare,m,phd,,,Professor and Chair of Psychiatry,,,,,1991
P02596,Joan K. Wadlow,f,phd,,,Provost,US-UNIVERSITY-OF-OKLAHOMA,,,,1991
P02597,Blanche M. Touhill,f,phd,,,Vice Chancellor for Academic Affairs,US-UNIVERSITY-OF-MISSOURI-ST-LOUIS,TRUE,,,1991
P02598,Herman D. Lujan,m,phd,,,,,,,,1991
P02599,John P. Schlegel,m,phd,,,Executive and Academic Vice President,,TRUE,,,1991
P02600,"Sister Mary Lea Schneider, OSF",f,phd,,,Unknown,,,,,1991
P02601,Msgr. David A. Rubino,m,phd,,,Unknown (internal Gannon administrator/clergy),US-GANNON-UNIVERSITY,,,,1991
P02602,Lanny Hall,m,phd,,,President,,TRUE,,,1991
P02603,Scott Douglas Miller,m,phd,,,,,,,,1991
P02604,Paul R. Corts,m,phd,,,President,,TRUE,,,1991
P02605,"Bruce Francis, Ph.D.",m,phd,,,Unknown,,,,,1991
P02606,Jake B. Schrum,m,phd,,,"Vice President for Development/Planning (earlier VP of Texas Wesleyan, 1978-1982)",US-EMORY-UNIVERSITY,TRUE,,,1991
P02607,Millard C. Reed,m,phd,,,Unknown (denominational/pastoral leadership within Church of the Nazarene),,,,,1991
P02608,James J. Ross,m,phd,,,Unknown,,,,,1991
P02609,Lawson L. Swearingen Jr.,m,phd,,US-UNIVERSITY-OF-ARKANSAS,Practicing attorney and Louisiana State Senator (resigned Senate seat to take this role),,,,,1991
P02610,Jerry G. Bawcom,m,phd,,,Unknown exact title; prior roles reportedly included the UMHB Foundation and Texas Wesleyan University,,,,,1991
P02611,Rev. Dennis Dease,m,phd,,,Rector,,,,,1991
P02612,"Rev. James E. Hoff, S.J.",m,phd,,,Administrative positions (including at Creighton University),US-CREIGHTON-UNIVERSITY,,,,1991
P02613,Donald D. Schmeltekopf,m,phd,,,"Academic dean / vice president for academic affairs, Mars Hill College",,TRUE,,,1991
P02614,Paul Christiano,m,phd,,,"Dean, Carnegie Mellon University College of Engineering (Carnegie Institute of Technology)",,TRUE,,,1991
P02615,Joseph Charles Jennett,m,phd,,,,,,,,1991
P02616,"Elnora M. ""Ellie"" Gilfoyle",f,phd,,US-COLORADO-STATE-UNIVERSITY,"Dean of the College of Applied Human Sciences, Colorado State University",,TRUE,,,1991
P02617,Thomas A. Langford,m,phd,,,"Vice Provost for Academic Affairs, Duke University",,,,,1991
P02618,James Mau,m,phd,,,,,,,,1991
P02619,John Brighton,m,phd,,,"Dean, College of Engineering, Penn State",,TRUE,,,1991
P02620,Hugo Sonnenschein,m,phd,,,"Dean, School of Arts and Sciences, University of Pennsylvania",,TRUE,,,1991
P02621,Robert L. Ringel,m,phd,,,,,,,,1991
P02622,"Stephen A. Privett, S.J.",m,phd,,,,,,,,1991
P02623,Julia Ericksen,f,phd,,,,,,,,1991
P02624,Andrea L. Rich,f,phd,,,"Vice Chancellor for Academic Administration, UCLA",,,,,1991
P02625,Byron Pipes,m,phd,,,,,,,,1991
P02626,Ettore F. Infante,m,phd,,,"Dean, Institute of Technology, University of Minnesota",,TRUE,,,1991
P02627,William F. Little,m,phd,,,,,,,,1991
P02628,M. Beverly Swan,f,phd,,,,,,,,1991
P02629,Thomas F. George,m,phd,,,,,,,,1991
P02630,Louis E. Lataif,m,,Unknown,,"President, Ford of Europe",,,,,1991
P02631,Melvin Stith,m,phd,Marketing,US-SYRACUSE-UNIVERSITY,"Chair, Department of Marketing",US-FLORIDA-STATE-UNIVERSITY,,,,1991
P02632,Joseph A. Alutto,m,phd,Organizational Behavior,US-CORNELL-UNIVERSITY,Dean,,TRUE,,,1991
P02633,Parker,m,phd,Unknown,,Faculty/Administrator,,,,,1991
P02634,William A. Hasler,m,phd,Unknown,,Vice Chairman of Consulting,,,,,1991
P02635,David S. Kidwell,m,phd,Finance,,Professor of Finance (held endowed chairs),,TRUE,,,1991
P02636,Timothy P. Roth,m,phd,Business,US-TEXAS-A-AND-M-UNIVERSITY,Faculty Member,US-UNIVERSITY-OF-TEXAS-EL-PASO,,,,1991
P02637,Frank Hoy,m,phd,Business,US-TEXAS-A-AND-M-UNIVERSITY,Faculty/Administrator,,,,,1991
P02638,Brad Toben,m,phd,,,,,,,,1991
P02639,Lance Liebman,m,phd,,,,,,,,1991
P02640,Donald J. Weidner,m,phd,,,,,,,,1991
P02641,Alfred C. Aman Jr.,m,phd,,,"Professor of law, Cornell Law School",,,,,1991
P02642,Leonard P. Strickman,m,phd,,,,,,,,1991
P02643,Ellen R. Jordan,f,phd,,,,,,,,1991
P02644,Donald Zillman,m,phd,,,,,,,,1991
P02645,Leo M. Romero,m,phd,,,"Professor of Law, University of New Mexico School of Law",,,,,1991
P02646,Richard S. Wirtz,m,phd,,,"Associate Dean for Academic Affairs, University of Tennessee College of Law",,,,,1991
P02647,Robert E. Scott,m,phd,,,"Professor of Law, University of Virginia",,,,,1991
P02648,Robert Michels,m,phd,,,"Chair of Psychiatry, Cornell University Medical College",,,,,1991
P02649,James Clifton,m,phd,,,,,,,,1991
P02650,Stephen J. Ryan,m,phd,,,"Chair of Ophthalmology, USC; founder of the Doheny Eye Institute",,,,,1991
P02651,John W. Frymoyer,m,phd,,,"Professor and Chair of Orthopaedics and Rehabilitation, University of Vermont",,,,,1991
P02652,Charles E. Backus,m,phd,Nuclear Engineering,,Associate Dean for Research,US-ARIZONA-STATE-UNIVERSITY,,,,1991
P02653,Harvey F. Silverman,m,phd,Electrical Engineering,,Professor of Engineering,US-BROWN-UNIVERSITY,,,,1991
P02654,Stephen W. Director,m,phd,Electrical Engineering,,"Head, ECE Department",US-CARNEGIE-MELLON-UNIVERSITY,,,,1991
P02655,David H. Auston,m,phd,Electrical Engineering,,"Department Head, Physics Division",,,,,1991
P02656,John A. White Jr.,m,phd,Industrial Engineering,US-OHIO-STATE-UNIVERSITY,"Professor and Dept Head, ISyE",US-GEORGIA-INSTITUTE-OF-TECHNOLOGY,,,,1991
P02657,Joel Moses,m,phd,Mathematics,,"Head, EECS Department",US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,,,,1991
P02658,James Wei,m,phd,Chemical Engineering,,"Warren K. Lewis Professor and Department Head, Chemical Engineering",US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,,,,1991
P02659,Ellis H. Dill,m,phd,Mechanical Engineering,,Professor of Mechanical Engineering,US-RUTGERS-UNIVERSITY,TRUE,,,1991
P02660,Thomas R. Hanley,m,phd,Chemical Engineering,,Professor of Chemical Engineering,,,,,1991
P02661,Hermann Viets,m,phd,Engineering,,Professor of Engineering,,,,,1991
P02662,Christopher I. Byrnes,m,phd,Mathematics,,"Chair, Systems Science and Control",US-WASHINGTON-UNIVERSITY-ST-LOUIS,,,,1991
P02663,Barbara Hazard Munro,f,phd,,,"Faculty at University of Pennsylvania, Yale University, and University of Rhode Island",,,,,1991
P02664,Mary T. Champagne,f,phd,,,,,,,,1991
P02665,Angela Barron McBride,f,phd,,,First associate dean for research at the school (from 1985),,,,,1991
P02666,Kathleen Bond,f,phd,,,,,,,,1991
P02667,Mecca S. Cranley,f,phd,,,,,,,,1991
P02668,Lynne Goodykoontz Pearcey,f,phd,Educational and Counseling Psychology,US-UNIVERSITY-OF-KENTUCKY,"Interim Dean, UNCG School of Nursing",,TRUE,,,1991
P02669,Ellen B. Rudy,f,phd,,US-CASE-WESTERN-RESERVE-UNIVERSITY,,,,,,1991
P02670,Nancy Langston,f,phd,Education,,,,,,,1991
P02671,Patricia A. Buffler,f,phd,Epidemiology,US-UNIVERSITY-OF-CALIFORNIA-BERKELEY,"Dean, School of Public Health, University of Texas Health Science Center at Houston",,TRUE,,,1991
P02672,António Simões,m,phd,,,,,,,,1991
P02673,Marilyn Haring,f,phd,,,faculty/administrator,,,,,1991
P02674,Robert E. Tyndall,m,phd,,,,,,,,1991
P02675,Paula C. Wood,f,phd,,,,,,,,1991
P02676,Karl Reitz,m,phd,,US-UNIVERSITY-OF-CALIFORNIA-IRVINE,Chapman faculty/administrator,,,,,1991
P02677,Loren Crabtree,m,phd,,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,Professor of History at CSU,,,,,1991
P02678,Jeremy R. Knowles,m,phd,,,"Amory Houghton Professor of Chemistry and Biochemistry, Harvard",,,,,1991
P02679,Philip S. Khoury,m,phd,,US-HARVARD-UNIVERSITY,"Professor of History, MIT",,,,,1991
P02680,Robert J. Birgeneau,m,phd,Physics,US-YALE-UNIVERSITY,"Professor and Head of the Department of Physics, MIT",,,,,1991
P02681,Susan Welch,f,phd,Political Science,,"Political science faculty/administrator, University of Nebraska-Lincoln",,,,,1991
P02682,Harold Attridge,m,phd,,US-HARVARD-UNIVERSITY,Professor of theology,,,,,1991
P02683,Rosemary Stevens,f,phd,Epidemiology,US-YALE-UNIVERSITY,"Professor and Chair, History and Sociology of Science",,,,,1991
P02684,Elizabeth Daley,f,phd,,,"Chair, Film and Television Production Program (1989-1991); Director, Taper Media Enterprises (Mark Taper Forum); producer, MGM/Television",,,,,1991
P02685,Mary Schmidt Campbell,f,,,,,,,,,1991
P02686,Stan Wojewodski Jr.,m,,,,,,,,,1991
P02687,Norman L. Christensen Jr.,m,phd,Biology,US-UNIVERSITY-OF-CALIFORNIA-SANTA-BARBARA,"Faculty member (botany/ecology), Duke University",,,,,1991
P02688,Fred L. Poston,m,phd,Entomology,US-IOWA-STATE-UNIVERSITY,,,,,,1991
P02689,Max Amberson,m,phd,,,,,,,,1991
P02690,Conrad J. Weiser,m,phd,Horticulture,US-OREGON-STATE-UNIVERSITY,,,,,,1991
P02691,"Arnett C. Mace, Jr.",m,phd,,,,,,,,1991
P02692,G. Bruce Wiersma,m,phd,Forestry,US-SUNY-COLLEGE-OF-ENVIRONMENTAL-SCIENCE-AND-FORESTRY,"Faculty/administrator, University of Maine (UMaine class of 1964)",,,,,1991
P02693,Joseph O. Dean Jr.,m,phd,,,,,,,,1991
P02694,Stuart Feldman,m,phd,,,,,,,,1991
P02695,Frederick A. Murphy,m,phd,,,"Director, National Center for Infectious Diseases",,,,,1991
P02696,Kenneth M. Hollenbaugh,m,,,,"Founding member, Boise State Dept. of Geosciences; founding-era faculty",,,,,1991
P02697,Andrew J. Policano,m,phd,Economics,US-BROWN-UNIVERSITY,Senior Associate Dean of Academic Affairs,US-UNIVERSITY-OF-IOWA,TRUE,,,1991
P02698,W. Randy Boxx,m,phd,Not found,,Associate Professor,,TRUE,,,1991
P02699,Joseph Duffey,m,phd,,,"Chancellor, University of Massachusetts Amherst",,,,,1992
P02700,William V. Muse,m,phd,,,"President, University of Akron",,,,,1992
P02701,Alexander M. Sanders Jr.,m,phd,,,"Chief Judge, South Carolina Court of Appeals",,,,,1992
P02702,Gordon Guyer,m,phd,,,MSU faculty/administrator; director Michigan Dept. of Agriculture,,,,,1992
P02703,Raymond L. Orbach,m,phd,,,"Provost of the College of Letters and Science, UCLA",,,,,1992
P02704,James H. Pickering,m,phd,,,UH provost/administrator,,,,,1992
P02705,Freeman A. Hrabowski III,m,phd,Higher Education Administration/Statistics,US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN,UMBC Executive Vice President,,,,,1992
P02706,Gerald T. Brouder,m,phd,,,University administrator,,,,,1992
P02707,Kendall L. Baker,m,phd,,,Academic administrator,,,,,1992
P02708,William T. Snyder,m,phd,,,"Acting VC for Academic Affairs / Dean of Engineering, UT Knoxville",,TRUE,,,1992
P02709,Ryan C. Amacher,m,phd,,US-UNIVERSITY-OF-VIRGINIA,"Dean of the College of Commerce and Industry, Clemson University",,TRUE,,,1992
P02710,William S. Livingston,m,phd,,,"VP and Dean of Graduate Studies, UT Austin",,TRUE,,,1992
P02711,George H. Emert,m,phd,,,"Provost, University of Alabama",,,,,1992
P02712,Howard R. Lamar,m,phd,,US-YALE-UNIVERSITY,"Professor of history, Yale",,,,,1992
P02713,John Mangieri,m,phd,,,,,,,,1992
P02714,Leonard E. Plachta,m,phd,,,"Dean, College of Business Administration",,TRUE,,,1992
P02715,Roy S. Nicks,m,phd,,,"Director of Academic Affairs, corporate office",,,,,1992
P02716,Lawrence K. Pettit,m,phd,,,Chancellor,,TRUE,,,1992
P02717,James E. Lyons Sr.,m,phd,,US-UNIVERSITY-OF-CONNECTICUT,President,,TRUE,,,1992
P02718,Albert J. Simone,m,phd,,,"President, University of Hawaii System and Chancellor, University of Hawaii at Manoa",,TRUE,,,1992
P02719,Madeleine Wing Adler,f,phd,,,Academic administrator (senior academic-affairs posts),,,,,1992
P02720,John R. Brazil,m,phd,,,Chancellor,,TRUE,,,1992
P02721,Esther L. Barazzone,f,phd,,,VP for Academic Affairs and Dean,,TRUE,,,1992
P02722,"Sr. Marie Roseanne Bonfini, IHM",f,phd,,,Professor of French; Academic Dean and Director of Institutional Research and Planning,,TRUE,,,1992
P02723,John W. Moore,m,phd,,,President,,TRUE,,,1992
P02724,"Brother Joseph Burke, FSC",m,phd,,,Provost,US-LA-SALLE-UNIVERSITY,,,,1992
P02725,Keith Lovin,m,phd,,,Unknown,,,,,1992
P02726,L. Paige Patterson,m,phd,,,President,,TRUE,,,1992
P02727,Randolph W. Bromery,m,phd,,,Chancellor,,TRUE,,,1992
P02728,Richard Mucowski,m,phd,,,,,,,,1992
P02729,Jerry McGee,m,phd,,,"Vice President for Development (previously VP for Institutional Advancement at Meredith College, 1980-1987)",,TRUE,,,1992
P02730,Todd A. Britsch,m,phd,,,,,,,,1992
P02731,Jerry R. Green,m,phd,,,"Professor of Economics, Harvard University (former chair, Department of Economics)",,,,,1992
P02732,John J. Kozak,m,phd,,,"Dean of the Franklin College of Arts and Sciences, University of Georgia",,TRUE,,,1992
P02733,David H. Cohen,m,phd,,,"Vice President for Research and Dean of the Graduate School, Northwestern University (1986-1992)",,TRUE,,,1992
P02734,Irving McPhail,m,phd,,,,,,,,1992
P02735,Gerald J. Lieberman,m,phd,,,,,,,,1992
P02736,James England,m,phd,,,,,,,,1992
P02737,H. Garland Hershey,m,phd,,,,,,,,1992
P02738,Richard L. McCormick,m,phd,,,,,,,,1992
P02739,Hobson Wildenthal,m,phd,Physics,US-UNIVERSITY-OF-KANSAS,,,,,,1992
P02740,Thomas G. Burish,m,phd,,,"Associate Provost, Vanderbilt University",,,,,1992
P02741,Judith Rodin,f,phd,,,"Dean of the Graduate School of Arts and Sciences, Yale University",,TRUE,,,1992
P02742,F. David Fowler,m,,Unknown,,Managing Partner,,,,,1992
P02743,Daniel Short,m,phd,Unknown,US-UNIVERSITY-OF-MICHIGAN,Associate Dean,US-UNIVERSITY-OF-TEXAS-AUSTIN,,,,1992
P02744,Bob Clark,m,phd,Economics,,Professor of Economics,US-NORTH-CAROLINA-STATE-UNIVERSITY,,,,1992
P02745,Richard A. Williamson,m,phd,,,Professor of Law at William & Mary Law School,,,,,1992
P02746,Barry B. Boyer,m,phd,,,"Law professor, University at Buffalo School of Law",,,,,1992
P02747,Herma Hill Kay,f,phd,,,"Professor, Berkeley Law",,,,,1992
P02748,Dave Frohnmayer,m,phd,,,Attorney General of Oregon,,,,,1992
P02749,Donald J. Marsh,m,phd,,,"Chair of physiology, Brown University",,,,,1992
P02750,Charlie W. Scott,m,phd,,,"Faculty, UAB School of Medicine",,,,,1992
P02751,Glenn D. Steele Jr.,m,phd,,,"Chair, Department of Surgery, Harvard Medical School / New England Deaconess Hospital",,,,,1992
P02752,Gerard N. Burrow,m,phd,,,"Dean, University of California, San Diego School of Medicine",,TRUE,,,1992
P02753,Thomas Kicher,m,phd,Mechanical Engineering,,"Chair, Mechanical and Aerospace Engineering",US-CASE-WESTERN-RESERVE-UNIVERSITY,,,,1992
P02754,Thomas G. Keinath,m,phd,Water Resources Engineering,,"Head, Environmental Systems Engineering",US-CLEMSON-UNIVERSITY,,,,1992
P02755,Ching-Jen Chen,m,phd,Mechanical Engineering,US-CASE-WESTERN-RESERVE-UNIVERSITY,Professor of Mechanical Engineering,US-UNIVERSITY-OF-IOWA,,,,1992
P02756,Don P. Giddens,m,phd,Applied Mechanics,US-GEORGIA-INSTITUTE-OF-TECHNOLOGY,"Professor, School of Aerospace Engineering",US-GEORGIA-INSTITUTE-OF-TECHNOLOGY,,,,1992
P02757,David N. Wormley,m,phd,Mechanical Engineering,US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,"Associate Dean and Department Head, Mechanical Engineering",US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,,,,1992
P02758,Yacov Shamash,m,phd,Electrical Engineering,,Associate Dean of Engineering,US-WASHINGTON-UNIVERSITY-ST-LOUIS,,,,1992
P02759,Barbara Durand,f,phd,,,,,,,,1992
P02760,"Lillian ""Toni"" Bargagliotti",f,phd,,,,,,,,1992
P02761,Norma M. Lang,f,phd,,,"Professor of nursing, University of Wisconsin-Milwaukee",,,,,1992
P02762,E. Jane Martin,f,phd,,,,,,,,1992
P02763,Robert F. Meenan,m,,,,"Professor of medicine/public health; director, BU Arthritis Center",,,,,1992
P02764,O. Dale Williams,m,phd,Biostatistics,,"Professor of Biostatistics, UAB",,,,,1992
P02765,Robert D. Barr,m,phd,,,,,,,,1992
P02766,Barbara Sizemore,f,phd,,,Professor of education,,,,,1992
P02767,Jerome T. Murphy,m,phd,,,"Faculty and academic dean, HGSE",,TRUE,,,1992
P02768,Ted Mitchell,m,phd,,,Faculty/administrator (later president of Occidental College and U.S. Under Secretary of Education),,,,,1992
P02769,Phillip M. Eastman,m,phd,,,,,,,,1992
P02770,Linda Salamon,f,phd,English,,"Faculty, English",,,,,1992
P02771,Elvera Ehrenfeld,f,phd,,,,,,,,1992
P02772,Spencer Olin,m,phd,,,,,,,,1992
P02773,John W. Boyer,m,phd,History,US-UNIVERSITY-OF-CHICAGO,,,,,,1992
P02774,Judith Aikin,f,phd,,,Professor of German,,,,,1992
P02775,James E. McLeod,unknown,,,,,,,,,1992
P02776,Peter G. Rowe,m,,,,,,,,,1992
P02777,John Maxwell Hamilton,m,,,,,,,,,1992
P02778,Lawrence Speck,m,,,,,,,,,1992
P02779,Daniel P. Bartell,m,phd,Entomology,US-UNIVERSITY-OF-KENTUCKY,Appointed following a national search; prior institution not stated by the source,,,,,1992
P02780,Marc A. Johnson,m,phd,Agricultural Economics,US-MICHIGAN-STATE-UNIVERSITY,"Head, Department of Agricultural Economics, Kansas State University",,,,,1992
P02781,Bill Richardson,m,phd,Agricultural Education,US-UNIVERSITY-OF-MISSOURI,,,,,,1992
P02782,Barry Jacobsen,m,phd,,,,,,,,1992
P02783,Roger E. Wyse,m,phd,,,,,,,,1992
P02784,Andy Swiger,m,phd,,,,,,,,1992
P02785,Gregory N. Brown,m,phd,,,,,,,,1992
P02786,Jared L. Cohon,m,phd,Civil Engineering,US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,"Vice Provost for Research, Johns Hopkins University",,,,,1992
P02787,Ronald T. Borchardt,m,phd,,,Pharmaceutical Chemistry faculty,,,,,1992
P02788,Robert (Bob) Cipolle,m,phd,,,,,,,,1992
P02789,Richard Ross,m,phd,,US-IOWA-STATE-UNIVERSITY,,,,,,1992
P02790,H. Richard Adams,m,phd,,,"Professor and Chairman, Department of Veterinary Biomedical Sciences (joined MU in 1984)",,,,,1992
P02791,Carol B. Lynch,f,,,,"Professor of EEB; Dean of the Sciences, Wesleyan University; NSF program director",,,,,1992
P02792,William E. Mayer,m,,Unknown,,President and CEO,,,,,1992
P02793,Elliott Milstein,m,phd,,,"Dean, AU Washington College of Law",,TRUE,,,1993
P02794,Charles P. Ruch,m,phd,,,"Administrator, Virginia Commonwealth University",,,,,1993
P02795,Nannerl O. Keohane,f,phd,,US-YALE-UNIVERSITY,"President, Wellesley College",,,,,1993
P02796,Paul G. Risser,m,phd,,,"Vice President for Research, University of New Mexico",,,,,1993
P02797,M. Peter McPherson,m,phd,,,"Administrator, USAID / banking executive",,,,,1993
P02798,R. Byron Pipes,m,phd,,,"Provost, University of Delaware",,,,,1993
P02799,Malcolm Gillis,m,phd,,,"Dean of arts and sciences, Duke University",,TRUE,,,1993
P02800,E. Dean Gage,m,phd,,,"Provost, Texas A&M University",,,,,1993
P02801,J. Claude Bennett,m,phd,,,"Chair of the Department of Medicine, UAB",,,,,1993
P02802,Laurel L. Wilkening,f,phd,,,"Provost, University of Washington",,,,,1993
P02803,Claire Fagin,f,phd,,US-NEW-YORK-UNIVERSITY,"Dean, Penn School of Nursing",,TRUE,,,1993
P02804,David Ward,m,phd,Geography,US-UNIVERSITY-OF-WISCONSIN-MADISON,"Provost, UW-Madison",,,,,1993
P02805,Richard C. Levin,m,phd,Economics,US-YALE-UNIVERSITY,"Dean of the Graduate School / economics professor, Yale",,TRUE,,,1993
P02806,Claire A. Van Ummersen,f,phd,,,Chancellor,,TRUE,,,1993
P02807,"John P. Minogue, C.M.",m,phd,,,Faculty member (law and medical ethics); Vincentian priest,US-DEPAUL-UNIVERSITY,,,,1993
P02808,Rex L. Cottle,m,phd,,,,,,,,1993
P02809,Gregory L. Eastwood,m,phd,,,"Dean, School of Medicine",,TRUE,,,1993
P02810,Yolanda T. Moses,f,phd,,,Vice President for Academic Affairs and Professor of Anthropology,,TRUE,,,1993
P02811,Joel E. Anderson,m,phd,,US-UNIVERSITY-OF-MICHIGAN,Provost and Vice Chancellor for Academic Affairs,,TRUE,,,1993
P02812,Linda Bunnell,f,phd,,,Vice Chancellor for Academic Affairs,,TRUE,,,1993
P02813,Peter H. Cressy,m,phd,,,President,,TRUE,,,1993
P02814,James C. Renick,m,phd,,,Vice Provost for Academic Initiatives and External Affairs,US-GEORGE-MASON-UNIVERSITY,,,,1993
P02815,Efraín González Tejera,m,phd,,,Professor of Law,,,,,1993
P02816,"Eddie N. Moore, Jr.",m,phd,,,State Treasurer of the Commonwealth of Virginia (Department of the Treasury),,,,,1993
P02817,Eugene M. Hughes,m,phd,,,President,,TRUE,,,1993
P02818,Roy E. McTarnaghan,m,phd,,US-MICHIGAN-STATE-UNIVERSITY,Executive Vice Chancellor,,TRUE,,,1993
P02819,"Sister Linda Bevilacqua, OP, PhD",f,phd,,,Unknown,,,,,1993
P02820,"Sister Eymard Gallagher, RSHM",f,phd,,,Unknown,,,,,1993
P02821,John H. Keiser,m,phd,,,President,US-BOISE-STATE-UNIVERSITY,TRUE,,,1993
P02822,Terrence Lindvall,m,phd,,,"Dean/Founding Faculty, School of Communication and the Arts",,TRUE,,,1993
P02823,"Michael J. Sheeran, S.J.",m,phd,,,Academic Vice President,US-REGIS-UNIVERSITY,TRUE,,,1993
P02824,Patricia A. Sullivan,f,phd,,,,,,,,1993
P02825,Dennis Alicea,m,phd,,,Unknown,,,,,1993
P02826,Kenneth L. Perrin,m,phd,,US-STANFORD-UNIVERSITY,President,US-WEST-CHESTER-UNIVERSITY-OF-PENNSYLVANIA,TRUE,,,1993
P02827,Charles O. Warren,m,phd,,,Unknown (not found in available sources),,,,,1993
P02828,Mary Ann Swain,f,phd,,,"Associate Vice President for Academic Affairs, University of Michigan",,,,,1993
P02829,Gillian T. Cell,f,phd,,,"Dean of the College of Arts and Sciences, University of North Carolina at Chapel Hill",,TRUE,,,1993
P02830,Bruce Pipes,m,phd,,,,,,,,1993
P02831,Lou Anna Kimsey Simon,f,phd,,,,,,,,1993
P02832,Phillip J. Stiles,m,phd,,,,,,,,1993
P02833,John Richard Sisson,m,phd,,,"Faculty member and academic administrator, University of California, Los Angeles (25 years)",,,,,1993
P02834,Richard Podgorski,m,phd,,,,,,,,1993
P02835,Nancy Magnusson Fagan,f,phd,,,,,,,,1993
P02836,Steven S. Lemley,m,phd,,,,,,,,1993
P02837,Stephen Goldfeld,m,phd,,,,,,,,1993
P02838,James Kinsey,m,phd,,,"Dean, Wiess School of Natural Sciences, Rice University",,TRUE,,,1993
P02839,Condoleezza Rice,f,phd,,,,,,,,1993
P02840,R. Bryce Hool,m,phd,,,,,,,,1993
P02841,Robert D. Grey,m,phd,,,"Professor of Zoology and academic administrator, UC Davis",,,,,1993
P02842,Gary E. Whitehouse,m,phd,,,"Dean, College of Engineering, University of Central Florida",,TRUE,,,1993
P02843,Anthony J. Perzigian,m,phd,,,,,,,,1993
P02844,Andrew A. Sorensen,m,phd,,,,,,,,1993
P02845,Theodore L. Brown,m,phd,,,,,,,,1993
P02846,David E. Shulenburger,m,phd,,,,,,,,1993
P02847,Marvin S. Lazerson,m,phd,,,,,,,,1993
P02848,Lloyd Armstrong Jr.,m,phd,,,,,,,,1993
P02849,Paul S. Sypherd,m,phd,,,Executive Vice President; UA faculty/administrator,,,,,1993
P02850,Robert S. Parker,m,phd,unknown,,Dean School of Business Administration,US-GEORGETOWN-UNIVERSITY,,,,1993
P02851,George G. Daly,m,phd,Not found,US-NORTHWESTERN-UNIVERSITY,Richard R. West Professor of Business,,,,,1993
P02852,Richard Lewis,m,phd,Unknown,,"Dean, business school, Michigan State University",US-MICHIGAN-STATE-UNIVERSITY,TRUE,,,1993
P02853,C. Aaron Kelley,m,phd,Unknown,,Dean,US-UNIVERSITY-OF-LOUISVILLE,TRUE,,,1993
P02854,William P. Pierskalla,m,phd,Operations Research,US-STANFORD-UNIVERSITY,Deputy Dean for Academic Affairs,,,,,1993
P02855,Doyle Z. Williams,m,phd,Accounting,US-LOUISIANA-STATE-UNIVERSITY,"Dean, School of Accounting",US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA,TRUE,,,1993
P02856,Robert S. Hamada,m,phd,Finance,US-MASSACHUSETTS-INSTITUTE-OF-TECHNOLOGY,Deputy Dean for Faculty,,,,,1993
P02857,Larry D. Singell,m,phd,Economics,US-WAYNE-STATE-UNIVERSITY,Professor of Economics,US-UNIVERSITY-OF-COLORADO-BOULDER,,,,1993
P02858,Paul Fulton,m,,Unknown,,President,,,,,1993
P02859,Richard A. Cosier,m,phd,Unknown,,Professor of Management,,,,,1993
P02860,Susie VanHuss,f,phd,,,unknown,US-UNIVERSITY-OF-SOUTH-CAROLINA,,,,1993
P02861,Randolph W. Westerfield,m,phd,Finance and Economics,,Chairperson of Finance Department,US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA,,,,1993
P02862,C. Ray Smith,m,phd,Unknown,,Professor of Business Administration,,,,,1993
P02863,Aviam Soifer,m,phd,,,,,,,,1993
P02864,David Hall,m,phd,,,Professor of Law at Northeastern University School of Law,,,,,1993
P02865,Gregory H. Williams,m,phd,,,Professor of Law at Ohio State University College of Law,,,,,1993
P02866,Barbara Black,f,phd,,,"Professor, Pace University School of Law",,,,,1993
P02867,Kenneth C. Randall,m,phd,,,"Law professor, University of Alabama School of Law",,,,,1993
